@relation newArff

@attribute Sms string
@attribute class{'spam', 'NotSpam'}

@data
"trsedia dna tnai tnp jminan untk mdal usha rnovasi roojt riki 0815187109 - 0815187109",spam
"berkat pengisiang pulsa _url_ ndpt hadiah thr rp175jt dari ptmkios pin menang anda m248k81uinfo klik _url_ - _url_",spam
"selamat no anda mndpt hadiah mobil toyota yaris drmkios pin1jh76k79 u info cek di internet klik _url_",spam
"mohon maaf nanti belum di transfersetor harap tlpn saya dulu di nomor saya aktif ini 0857 - 08571663838 soal ada ubah nomor rekening tks",spam
"ini rekening bni0450080798an amelia hasanah",spam
"selamat anda mdptkan hadiah dari undi pulsa pt m - tronik thn priode 2016 pin caegbsj silah verifikasi pin anda di _url_",spam
"maaf lewat sms apabila kontraknnya msih mau di lanjut pembayaranya lewat adik saya pak zainal nomor hp 08 - 08387773878 soal sudah saya pindah tangan kan sma dia",spam
"dana tunai jamin bpkb usaha tbk percaya bunga mulai dari 08 non bi checking proses cepat bisa take over hub gerry 081 - 08118717000 08161757700",spam
"ne sewa ges ayaan di terminal",spam
"ne omat beja an mun isuk jadi mel calana",spam
"aktif paket data beli pulsa internet di outlet terdekatdpatkan kuota hingga 75gb35gb4gb 4gdptkan hadiah informasi _url_ skb",spam
"surat putus dari tri care indonesia pin mgorcxbj pilih dapat hadiah cek tunai rp45jt informasi hubung 0895346108111 kunjung _url_ - _url_",spam
"hadiah thr 2016 berkat isi ulang pulsa m - tronik no anda raih hadiah ke - 2 pin menang anda gbjaeeg slakan cek pin klik _url_",spam
"pinjamantanpajaminan bagi pegang creditcard area jabodetabek mulai rsjt sd eoojt adapromobunga 111 upinjaman ioojt 085711834314 anto",spam
"jasa lancar salur mampet sedot wc untuk wilayah jabodetabek hub bagus 085775565005",spam
"sempat jadi agen pulsaall operator mkios harga murah 54500 109000 2018000 2523000 5045000 ketik daftar kirim ke 0856 - 0856318335",spam
"ketika kamu sedih kamu boleh tutup mata ketika kamu tidur kamu juga boleh tutup mata tapi jangan pernah hati hub 0809 - 111 - 4444 nomor senya sara",spam
"jual alat usir tikus elektrik pestronic rowatt rad rom rp isorb racun tikus super mati di tempat rp ioorb 2 sachet sms jenisbrgnamaalmt bayar belakang",spam
"caturex - mnambah stamina - mnyeimbagkn hormon - gairah brtambah - mngobati lemahsyahwat - prostat - ejakulasidini - besarpanjang pin2a6d3 - 305 08569777444 - 08569777444",spam
"makisi pulsa as 10 ewu neng nomor08238433753 - 08 - 0838433753 iki saiki",spam
"selamatsim card anda trpilih jadi menang dari pesta isi ulang ptm - tronik 2016 pin hadiah25e477r informasi klick _url_",spam
"asswrwb paket haji plus 2016 daftar sekarang lsg berangkat 7 sep2016 visa batas harga turun hanya usd 1 - 1000 informasi hub hp wa 081 - 081 12 - 125 1869",spam
"perlu dana tunai jamin bpkb mobil tahun 2003 up bisa sd tenor 4 tahun khusus 2006 up bisa take over non bi checking informasi hub rita 085216 - 08521603678 pin bb drbjfoco",spam
"selamat sim card anda trpilih jadi menang dari pesta isi ulang ptm - tronik 2016 pin hadiah rseajjr untk informasi klick _url_",spam
"jual perdana as no 085 - 08531333317 rp 250000 bayar telah kartu terima minatkirim nama alamat lengkap andasms ke 08230191919 - 08 - 0830191919",spam
"kami bantu tutup cckta dengan cara cicil sesuai mampu bunga 0 lunas discount 30 - 70clear bi checkinghub sanjaya 081 - 08173186507 legal",spam
"surat terang resmi dari m - tronik noanda masuk kategori pemenanganda m - dapat cek tunai rp100jt no pin777da4cuinfo klik _url_",spam
"maafuntuk bayar angsur klu mau di bayar harap tlp dulu ke atas saya bpk bahriibu rika 081806005667 soal sudah di kuasa kepada beliauthanks",spam
"info property jual ruko 35lt lt5x18m - 5x18m shm _url_ jatinegara timur jak - tim seblahan holand bakery dan bang dan sevel gratis menara baliho edo 0813 85663436",spam
"mas isekno pulsa rong puluh ewu neng nomor 082293372 - 08229337259 iki saiki",spam
"website poker togel casino klik ling _url_ game judi lengkap percaya min dp rp rsrb dan bonus komisi tiap minggu online rajam",spam
"_url_ adalah situs poker aman dan terpercayadptkan bonus turn over 03 min 1 jt lama proses depo dan wd cepat100 nomor robot bbm 2b4804 - 48040",spam
"gabung di _url_ situs togel online paling cari saat ini proses transaksi paling cepat dan aman percaya sudah bukti",spam
"maaf saya isri mau konfirmasi soal lokasi tawar betul saya sudah mrs _url_ harga tlpsms ke suami saya hhandoko hp081526039870tksh",spam
"gmpng ae ngko saya ket wing trune jm 1 terus",spam
"jual obat oles kamu pria hajar jahanam joss kuat jam jam rp ijorb botol _url_ aml order sms hj170rb nama _url_ terima bareng dulu baru transfer",spam
"maaf kami sudah hubung tapi tidak sambung no anda resmi raih hadiah ke - 2 drptmkios pinm248k81 cek pin anda di _url_ - _url_",spam
"perlu tambah modal usaha jamin bpkb mbltruk rate rdahproses cptfinance resmi bpkb aman bisa takeover masih brjln hub sany 085776931517082 - 08240844448",spam
"surat putus resmi dari ptm - tronik no anda pilih bagai menang ke - 2 pin menang anda sjbggas uinfo klik _url_ - _url_",spam
"promo balik dari mudikibeli 1 dapat 2 semua jenis minumanberlaku di semua gerai starbuckstunjukan sms ini hari iniwhile stock lasttc applypromo 606",spam
"website poker togel casino klik ling _url_ game judi lengkap percaya min dp rp rsrb dan bonus komisi tiap minggu online rajam",spam
"ini rekening rek bri an farel sebastian no rek 114601007992506",spam
"berkat isiulang pulsa _url_ resmi ndpt hadiah ke - 2 dari thr rpijsjt pinm248k81 uinfo hadiah klik _url_ - _url_",spam
"langgan yth noanda resmi pilih bagai menang ke - 2 dari undi ptm - kios pin menang jjmrajj silah cek hadiah anda di _url_",spam
"berkat isi ulang pulsa m - tronik selamat nomor anda m - dptkan hadiah dari ptm - tronik pin menang rseajjr slhkan cek pin anda di _url_ - _url_",spam
"info dana tunai kta 20 - roojuta dengan bunga ringan bebas provisi 0 proses cepat khusus pegang kartu kredit hub ju 085710256040081 - 08193977941 wa",spam
"perlu tambah modal usaha jamin bpkb mbltruk 200 - 200up rate rndhproses cptfinance resmi bpkb amanbsa take over info indri 082 - 08298707087 085776861416",spam
"pulsa kmu tidak cukup brlangganan eshop isi ulang pulsa lalu klik _url_ tetap nikmat download puas info 1 - 13",spam
"langgan yth simcard anda bagai menang dapat hadiah mobil toyota all new yaris pin8jf2177 dari gebyar undi 3 care untuk informasi lebih lengkap klik wgebyarhadiah - _url_",spam
"berkat isi ulang pulsa no anda trplh bagai menang ke2 men - dptkan cek tunai rp100jt dari ptm - kios pinm248k81 uinfo klik _url_",spam
"surat putus resmi ptjya simpati selamat anda pilih bagai menang ke - 4 pin menang anda ajshajia cek pin klik _url_",spam
"info resmi mkios langgan yth nosimcard anda mdapat hadiah berkat isi ulang pulsa mkios pin 3457cn8 - 8 verifikasi hadiah kunjung _url_",spam
"pesan resmi ptmkios brkat isi ulang pulsa mkios _url_ mdpat hadiah 100 jt _url_ mjhjraj infohub 085 - 08586566777 atau klik di _url_",spam
"pri mamak gomar guli nyepiti pipit ora sida bar lebaran sidane senen ngesuk bapake njaluk uang go kondangan karo go nyangoni pipit ora ngarani jere bapake sepawih mu anu ora tahu kerja biasa nek garep badan sepi nek ana kerjan paling karo bangun",spam
"apply now dana tunai up to roojt suku bunga rendah 3 days aprroved cukup fotocopy - ktp - kartu kredit hub gita 0878 - 8388 - 6004 0857 - 7588 - 6005 sdbsfbi",spam
"maaf kami sudah hubung tapi tidak sambung nomor anda resmi raih hadiah dari ptmtronik pin25e477r cek pin anda di _url_ - _url_",spam
"bpkibu yth kena rekening anda pilih bagai menang cek esjt uf klik _url_ kode cek 03 - 0399757 terima kasih",spam
"spesial di bulan juni bunga 111 satu hari aprove pinjam tanpa jamin isjt hingga 200 jt hub chika 0856748562 - 085674856 - 085674856",spam
"rasa ini luas samudra tak mungkin bisa ku ukur telepon aku kalau kmu sudah tidak sibuk ke no 08091401053 aku tunggu iya nomor senya sara jangan lupa m",spam
"solusi dana tunai jamin bpkb mbltruck bs take over mudahcptrate rendah finance resmi bpkb pasti aman info hub selva 08521 - 08521363556 0857700 - 08577009405 087775557115",spam
"butuh dana tun jamin bpkb mobil andaproses cepatdata lengkap ihari cairbunga ringanbpkb aman bisa take over hub resti 081574402 - 08157440263 bbm sfisgbce",spam
"coba tepi dalam hati tapi sayang lalu dingin _url_ aku iya ke no 08091401053 selalu ingat nomor senya sara aku tunggu iya",spam
"pesan rezmi dr tri careselamat anda m - dptkan hadiah cek tunai besar rp45jt nopin undi gaadgse uinfo kunjungiwundianbimatricarejimdocom",spam
"biodata ada di ktp kenapa sms segera ok",spam
"dana tunai jamin bpkb percaya pada baik usaha tbk percaya cabang seluruh indonesia bisa take over hub gerry 081 - 08118717000 081617577000",spam
"maafuntuk bayar angsur klu mau di bayar harap tlp dulu ke atas saya bpk bahriibu rika 087788044566 soal sudah di kuasa kepada beliauthanks",spam
"dijualkartu perdana ime 085852555 - 08585255591 harga rp 120000 - minat sms nama alamat lengkap ke 085 - 08504599595 transfer ste kartu ditrima",spam
"internetan 24 jam 1 bulan penuh hingga ggb mulai iorb dapat promo internet super murah di 363 sekarang",spam
"surat putus resmi dari ptm - tronik no anda trpilih bagai menang ke - 2 pin menang anda rfsaejj uinfo lengkap klik _url_",spam
"plg yth selamat nomor anda pilih sebagei menang undi ke - 4 drtelkomselpoin pinpemenang rjjfgag lihat hadiah di _url_",spam
"surat putus resmi driptm - tronik noanda telah resmi menang ke - _url_ hadiah anda - ndaf54e77 uinfo klik _url_",spam
"pesan resmi dari m - troniktbk noanda m - dapat hadiah cek tunai rp100jt nomor pin987a33g uinfo pin pemenangklik _url_",spam
"pesan resmi dari m - troniktbk noanda m - dapat hadiah cek tunai rp100jt nomor pin987a33g uinfo pin pemenangklik _url_",spam
"surat putus resmi ptmkios anda pilih bagai menang ke4 _url_ ijhjgkjg cek pin anda di _url_",spam
"plg yth selamat nomor anda pilih bagai menang hadiah ke - 4 drtelkomselpoin pin277fg49 lihat hadiah di _url_",spam
"pesan resmi dr ptm - tronik hsil undi berkat isi ulang _url_ dapat hadiah nopin undia25e477r uinfo kunjung _url_",spam
"jual obat oles tahan lama pria hajar jahanam mesir bisa tahan lama jam - jam rp ijorb botol _url_ aml order sms ketik hj170rb nama alamat bayar belakang",spam
"maafutk bayar klau mau di bayar harap hubung bpkahmad faki di 081545041377 soal sudah kami kuasa penuh kepada _url_",spam
"ini rekening mandiri900 0038 661 534 an tia ratmawati",spam
"slmt noanda men - dapat hadiah mobil toyota yaris dari undi indosat pin menang anda 8jf - 8jf177 info cek di _url_",spam
"selamat sim card anda pilih jadi menang dari pesta isi ulang ptmtronik 2016 pin hadiah rseajjr informasi klick _url_",spam
"mau facebook - an tapi tidak punya akses internet tekan 3 - 35 kamu bisa facebook - an puas mulai dari baru statuskirim pesan komentar lain info1 - 13",spam
"luxury villa di pandawa beach bal start from rp 28m shm ocean view gathering di duck king senayan city 16 agustus free furniture contact 62821 - 628217788870",spam
"dapat pinjam dana tunai 5 - roojt bunga 111 flat syarat fcktp kartu kredit proses 1 hari kerja minat hub arie 08567898033 wapinbb 228fa4 - 45",spam
"mau dana cepatmobil innova u usaha jamin b p k b mobil anda bunga mulai 08 proses cepatsluruh indonesia non bi - cehceking lucy 08521357727 - 085213577 - 0852135777 085716357818",spam
"maafuangnya mau transfer pakai bang apa atau telepon dulu di nomor sya ini 085723033379makasih",spam
"promo kacamata tembus pandang bisa tembus segala jenis kainkardus _url_ dan lain - lain yang minat invite bb2bbaab1b",spam
"jasa tutup krtu kreditktabantu cicil ringan atau lunas diskon 30 - 70 kami bantu cara legalhubniar 0822989446480815113 - 08151138660",spam
"maaf kami sudah hubung tapi tidak sambung _url_ resmi maraih hadiah ke - 2 dari ptmkios pinm248k81 uinfo klikwhadiah - _url_",spam
"maaf baru saya kabarinkalau kontrak masih mau terus bayar sama _url_ soal sudah saya jual atau pindah tangan ke hrudino hpnya0815 - 08154713477",spam
"nasabah bri yth anda dapat cek _url_ dari undi bri kode triplle cek anda 0 - 0599875 informasi hadiah klik _url_ - _url_",spam
"ini nomor rekening brianrisman no rek 2 - 259 - 0100 - 0659 - 53 - 9",spam
"2016 - 08 - 03 172416plg yth sisa kuota flash anda agamb download mytelkomsel apps di _url_ cek kuotabeli paket flash atau hub 363",spam
"dana cepat dan mudah jamin bpkb mobil anda segera cair 2 hari kerja tidak bi checking hub dewi 081 - 08193788995",spam
"dana cepat usaha dan renovasi rumah jmnan bpkb mbilmtor proses cpat tnpa bi checkking bunga 092 bisa takeover hub irvan 08531175241 - 08531175 - 0853117541",spam
"plggn yth selamat nomor simcard anda m - dapat hadiah berkat isi ulang pulsa m - tronik thn - 2016 cek rp100jt pin rseajjr info klik _url_",spam
"good news ioojt only rp3887777 - bunga rendah 3 days aproved cukup fotocpy - ktp - kartu kredit hubsilvia 0856 - 7070 - 444 thx",spam
"yth plg indosat berkat isiulang m - tronik noxv2016 noanda dapat cek tunai 100jt pin menang anda987a33g ucek pin klik _url_ - _url_",spam
"judi casino online percaya gabung di _url_ komisi referral 03 dan bonus deposit 10 min dp rsrb main di pc dan androidmu",spam
"hasil undi ptmkios nyata noanda resmi ndpt hadiah cek rp jsjuta pinanda easrrbb uinfo verifikasi klik _url_",spam
"berkat isi ulang pls _url_ resmi m - dptkan hadiah ke - 2 dari mki0s rpijsjt pin menang andam248k81 uinfoklik _url_ - _url_",spam
"pesan resmi dari ptindosat no anda pilih bagai menang hadiah pin rrasdni uinfo ambil hadiah klik _url_",spam
"jual obat oles tahan lama herbal kamu pria hajar jahanam mesir rp ijorb botol _url_ aml bisa tahan jam - jam order sms hj170rbnamaalamat bayar belakang",spam
"info m - tronik berkat isi ulang pulsa nomor anda m - dptkan hadiah ke - 2 _url_ pin menang anda gbjaeeg slakan cek pin anda klik _url_",spam
"nasabah yth rekning tbungan anda errorhrus di monitor ulang kmbli maaf sblum ke kantor harap hub pak handoko dulu skrng di _url_",spam
"dana cepat jamin bpkb mobil bunga murah 08 proses cepat non bi checking bisa takeover michael best consultant 081 - 08196993636 08578080552 - 0857808055 - 0857808055",spam
"berkat isi ulang pulsa no anda pilih bagai menang ke2 men - dpt cek tunai rp100jt dari ptm - kios pinm248k81 uinfo klik _url_ - _url_",spam
"an cek di _url_",spam
"pesan resmi dari pttricare indonesia selamat simcard anda dapat hadiah cek tunai nilai rp100jt jatuh ke - menang 3 kode pina3b0547 silah cek di _url_",spam
"selamat anda resmi ndpt hadiah rp100 juta dari ptmtronik pin anda25e477r uinfo lanjut klik di _url_",spam
"travellingmodal usahapenidikan jamin bpkb mobil b u n g a m ulai dari 08 financial perca iya resmitbk mariani 08 - 08337550478 085888 - 08588816050",spam
"need cash sd 200jt syarat mudah proses cepat bunga ringan hub anzzie 085890633533 maaf jk ganggu",spam
"jual kartu me iidgt super 08567399983 hrg isgrb bayar telah krtu dterima hub shonar cell 08 - 08380577779 wa pin237d72 - 723 tks",spam
"langgan yth noanda resmi pilih bagai menang ke - 2 dari undi ptm - kios pin menang jjmrajj silah cek hadiah anda di _url_",spam
"ocean view villa at pandawa bal for sale private pool ibr rbr shm hp 62821 - 628217788870 _url_ saat belanja property di bal telah tax amnesty",spam
"kami dari leasing resmi siap bantu jamin bpkb mbltruk cair manya 3 hari nomor bi check tidak ada potong fee informasi indri 085776861416 082 - 08298707087",spam
"cuma rp - p500 ihr bebas nelp ke 3 milyar duduk dunia semua operator lokal luar negri aktif di 12351 atau _url_ - bebas - bicarav591",spam
"pesan resmi berkat isiulang m - tronik noxv2016 _url_ dapat cek tunai 100jta pin menang anda rseajjr uinfo klik _url_",spam
"isi ulang rpso hasil kode transaksi 1607169253052 - 160716925305 - 160716925305 cek 123888 promo rabu rawit jumat baik buat semua langgan axis",spam
"mas isekno pulsa rong puluh ewu neng nomor 082 - 08299875088 iki saiki",spam
"bang mandiri an moch yunus no rek 14 - 140 - 0136 - 83973",spam
"anda bth dana kami solusi bunga 111 syarat ktp dn kartu kredit tidak py kartu gunakn bpkb mobiltruck hub lika 085814590985 wa 085 - 08516047756 pin doardabb",spam
"kirim uang rekening bri an freddy norek 095801010106532",spam
"gebyar hadia mtronik 2016 slamat berkat isi ulang pulsa di no anda pilih hadiah nopin3c1e8f7 menang resmi uinfo klik _url_",spam
"mak isekno pulsa rong puluh ewu neng nomor 082323 - 08232375810 iki saiki penting",spam
"siap mmbantu financial anda jminkn bpkb mobil motor bunga rate 096 bsa take over proses cpt aman tanpa bi checking hub sus 085 - 08513080718",spam
"selamat anda mdptkan hadiah dari undi pulsa pt m - tronik thn priode 2016 pin rsajafr silah verifikasi pin anda di _url_",spam
"mudah dan aman bisnis togel kini bentuk online gabung dan raih untung anda di _url_ satu - satu situs toto gelap online percaya",spam
"terima kasih jadi langgan setia m - tronik berkat isi ulang pulsa nomor anda raih hadiah ke - 2 dari ptmtronik pin rseajjr klik _url_",spam
"sms copy ke 628527019 - 628527019469 langgan yth nosimcard anda resmi menang ke - 2 pesta isi ulang m - kios 2016 pin77m2477 untuk informasi klik _url_ - _url_",spam
"langgan 085799111618 ada ngajak kamu chatting hubung 858 baca pesan akan hapus dalam 5 menit sila hubung 858 sekarang",spam
"selamatsim card anda trpilih jadi menang dari pesta isi ulang ptm - tronik 2016 pin hadiah rseajjr informasi klick _url_",spam
"maaf kami sudah hubung tapi tidak sambung _url_ resmi raih hadiah thr ke - 2 dari ptmkios pinm248k81 uinfo klik _url_ - _url_",spam
"promo lebaran jminkan b p k b mobil dptkn undi innova dptkn bung di mulai 08 cabg sluruh indonesia hub customer service mariani 08 - 08337550478 085888 - 08588816050",spam
"hasil berkat isi ulang pulsa noanda resmi menang cek tunai _url_ ptmki0s pinm248k81 hub085242416 - 08524241646 atau klik wisiulangmkios99 _url_",spam
"mau langgan nsp lagu galau usio - al ghazali teman tdbalas sms ketik yatrf rpeo ppn7hrcs133188",spam
"surat putus resmi ptm - kios anda pilih bagai pmenang ke - 4 dengan pin pmenang ijhjgkjg uinfo cek pin anda di _url_ - _url_",spam
"nasabah bri yth anda pilih bagai menang cek 27jt dari undi bri kode cek anda 0 - 0599875 informasi hadiah klik winfohadiah - _url_",spam
"ini rekening bank mandiri 1610 0031 29850an ali kurnianto",spam
"telkomsel traktirramadhan disc up to 50 gratis biaya delivery di foodpandacoid tukar 21 poin ketik tselfoo kirim ke 777 cek promo lain di 123 sk",spam
"langgan yth slmatii nmor anda tlh mdpat hadiah cek100jt dlam pesta isi ulang mkios 2016 pinr25477 vrifikasi pin anda di _url_",spam
"selamat anda resmi ndpt hadiah rp100 juta dari ptmtronik pin anda rseajjr uinfo lanjut klik di _url_ - _url_",spam
"butuh dana cepat hanya dgn bpkb mobiltruck manya 8 milyar proses 3 hari cairamancepattake over leasing resmi non bi hubgissell 081 - 08193893370 08577307121 - 085773071 - 0857730711",spam
"good news ioojt only rp3887777 - bunga rendah 3 days aproved cukup fotocpy - ktp - kartu kredit hubfebby 0857 - 7014 - 7475 0877 - 828 - 8 - 88 - 3395 sejiceob thx",spam
"asssy brminat dgn rumah kost yg mau sewa bpkibu yg sdh sy surveytp sy tlpon susah masuk utk msa hrga lgsung aja hub ayah saya 0858 - 08587887989 drbudi",spam
"kapsul sarang semut papua sembuh diabetshipertensiasmareumatikasam urat dan lain - lain rp roorb isi 70 pesan sms nm almt lkp ke 085334889977 terima kasih bareng dulu",spam
"nasabah yth harap menhub bri prihal rekening anda dapat cek rp27jt dari bri pusat triple cek 0 - 0599875 bisa klik _url_ - _url_",spam
"beritahu sampai bahwa rekening bri anda pilih dapat cek27jt kode triple cek anda 0 - 0599875 uinfo klik wkejutan - _url_",spam
"maaf anda tidak dapat guna layan ini cs12344 mau tahu zodiak gratis telp hub 5152",spam
"surat putus resmi dari ptm - tronik berkat isi ulang pulsa anda raih hadiah ke 2 cek tunai rp100jt dgn pin987a33g info klikwhadiah - _url_",spam
"terima kasih layan kepo2200sms3xmgg sudah aktif utk henti ketik unreg kepo ke 99969 atau telepon 12366 info 0877855922 - 08778559228 telp ke 1233697 ada logam mulia sgr untuk",spam
